# Summary
# percent  method  mean_MAE_cm^-1  std_MAE_cm^-1  sem_MAE_cm^-1  n_runs
DFT+CCSD        check11   validation_copy\check11.npy   10     28.71623025
DFT+CCSD        check11   validation_copy\check11.npy   20     12.92083380
DFT+CCSD        check11   validation_copy\check11.npy   30      6.63776478
DFT+CCSD        check11   validation_copy\check11.npy   40      3.35579031
DFT+CCSD        check11   validation_copy\check11.npy   50      3.25286783
DFT+CCSD        check11   validation_copy\check11.npy   60      1.98864525
DFT+CCSD        check11   validation_copy\check11.npy   70      1.43496957
DFT+CCSD        check11   validation_copy\check11.npy   80      0.88054686
UMLFF+CCSD      check     validation_copy\check.npy   10     11.10328028
UMLFF+CCSD      check     validation_copy\check.npy   20      4.54540107
UMLFF+CCSD      check     validation_copy\check.npy   30      3.01124200
UMLFF+CCSD      check     validation_copy\check.npy   40      2.30347645
UMLFF+CCSD      check     validation_copy\check.npy   50      2.09781742
UMLFF+CCSD      check     validation_copy\check.npy   60      1.25578740
UMLFF+CCSD      check     validation_copy\check.npy   70      0.88748237
UMLFF+CCSD      check     validation_copy\check.npy   80      0.73791473
UMLFF+CCSD      check1    validation_copy\check1.npy   10     11.13185683
UMLFF+CCSD      check1    validation_copy\check1.npy   20      4.63287915
UMLFF+CCSD      check1    validation_copy\check1.npy   30      2.44695131
UMLFF+CCSD      check1    validation_copy\check1.npy   40      1.39414310
UMLFF+CCSD      check1    validation_copy\check1.npy   50      1.15095682
UMLFF+CCSD      check1    validation_copy\check1.npy   60      1.34818406
UMLFF+CCSD      check1    validation_copy\check1.npy   70      0.85096337
UMLFF+CCSD      check1    validation_copy\check1.npy   80      0.86463419
UMLFF+CCSD      check2    validation_copy\check2.npy   10     10.42443263
UMLFF+CCSD      check2    validation_copy\check2.npy   20      4.48618994
UMLFF+CCSD      check2    validation_copy\check2.npy   30      2.43564255
UMLFF+CCSD      check2    validation_copy\check2.npy   40      2.29033547
UMLFF+CCSD      check2    validation_copy\check2.npy   50      1.77767948
UMLFF+CCSD      check2    validation_copy\check2.npy   60      1.80247578
UMLFF+CCSD      check2    validation_copy\check2.npy   70      1.47659026
UMLFF+CCSD      check2    validation_copy\check2.npy   80      0.76841542
UMLFF+CCSD      check3    validation_copy\check3.npy   10     10.44095166
UMLFF+CCSD      check3    validation_copy\check3.npy   20      4.55905844
UMLFF+CCSD      check3    validation_copy\check3.npy   30      2.92965207
UMLFF+CCSD      check3    validation_copy\check3.npy   40      1.49912547
UMLFF+CCSD      check3    validation_copy\check3.npy   50      1.18460219
UMLFF+CCSD      check3    validation_copy\check3.npy   60      1.44938828
UMLFF+CCSD      check3    validation_copy\check3.npy   70      0.88237875
UMLFF+CCSD      check3    validation_copy\check3.npy   80      0.88383801
UMLFF+CCSD      check4    validation_copy\check4.npy   10     10.50729319
UMLFF+CCSD      check4    validation_copy\check4.npy   20      4.98212457
UMLFF+CCSD      check4    validation_copy\check4.npy   30      2.93950738
UMLFF+CCSD      check4    validation_copy\check4.npy   40      1.39174964
UMLFF+CCSD      check4    validation_copy\check4.npy   50      1.17431212
UMLFF+CCSD      check4    validation_copy\check4.npy   60      1.09386949
UMLFF+CCSD      check4    validation_copy\check4.npy   70      1.01788972
UMLFF+CCSD      check4    validation_copy\check4.npy   80      0.82283680
UMLFF+CCSD      check5    validation_copy\check5.npy   10     10.40637245
UMLFF+CCSD      check5    validation_copy\check5.npy   20      4.56782313
UMLFF+CCSD      check5    validation_copy\check5.npy   30      2.45738858
UMLFF+CCSD      check5    validation_copy\check5.npy   40      1.50984269
UMLFF+CCSD      check5    validation_copy\check5.npy   50      1.14405834
UMLFF+CCSD      check5    validation_copy\check5.npy   60      1.30694320
UMLFF+CCSD      check5    validation_copy\check5.npy   70      0.96108924
UMLFF+CCSD      check5    validation_copy\check5.npy   80      1.13260557
UMLFF+CCSD      check6    validation_copy\check6.npy   10     10.63782948
UMLFF+CCSD      check6    validation_copy\check6.npy   20      4.49306634
UMLFF+CCSD      check6    validation_copy\check6.npy   30      3.58270169
UMLFF+CCSD      check6    validation_copy\check6.npy   40      1.60854512
UMLFF+CCSD      check6    validation_copy\check6.npy   50      1.28097614
UMLFF+CCSD      check6    validation_copy\check6.npy   60      0.93773332
UMLFF+CCSD      check6    validation_copy\check6.npy   70      1.13287661
UMLFF+CCSD      check6    validation_copy\check6.npy   80      0.94559515
UMLFF+CCSD      check7    validation_copy\check7.npy   10     10.57657632
UMLFF+CCSD      check7    validation_copy\check7.npy   20      4.49200386
UMLFF+CCSD      check7    validation_copy\check7.npy   30      2.79573111
UMLFF+CCSD      check7    validation_copy\check7.npy   40      1.42975338
UMLFF+CCSD      check7    validation_copy\check7.npy   50      1.04268380
UMLFF+CCSD      check7    validation_copy\check7.npy   60      1.13112133
UMLFF+CCSD      check7    validation_copy\check7.npy   70      1.64041026
UMLFF+CCSD      check7    validation_copy\check7.npy   80      0.75733241
UMLFF+CCSD      check8    validation_copy\check8.npy   10     10.84276125
UMLFF+CCSD      check8    validation_copy\check8.npy   20      4.65718781
UMLFF+CCSD      check8    validation_copy\check8.npy   30      2.67816885
UMLFF+CCSD      check8    validation_copy\check8.npy   40      1.37511383
UMLFF+CCSD      check8    validation_copy\check8.npy   50      1.09767931
UMLFF+CCSD      check8    validation_copy\check8.npy   60      1.38243714
UMLFF+CCSD      check8    validation_copy\check8.npy   70      0.87322283
UMLFF+CCSD      check8    validation_copy\check8.npy   80      0.92940497
UMLFF+CCSD      check9    validation_copy\check9.npy   10     10.39219761
UMLFF+CCSD      check9    validation_copy\check9.npy   20      4.30806826
UMLFF+CCSD      check9    validation_copy\check9.npy   30      2.44906730
UMLFF+CCSD      check9    validation_copy\check9.npy   40      1.34117223
UMLFF+CCSD      check9    validation_copy\check9.npy   50      1.96722095
UMLFF+CCSD      check9    validation_copy\check9.npy   60      0.93859351
UMLFF+CCSD      check9    validation_copy\check9.npy   70      0.93028865
UMLFF+CCSD      check9    validation_copy\check9.npy   80      0.77547714
UMLFF+CCSD      check10   validation_copy\check10.npy   10     10.81879068
UMLFF+CCSD      check10   validation_copy\check10.npy   20      4.47624435
UMLFF+CCSD      check10   validation_copy\check10.npy   30      2.64280435
UMLFF+CCSD      check10   validation_copy\check10.npy   40      1.86317511
UMLFF+CCSD      check10   validation_copy\check10.npy   50      1.05506169
UMLFF+CCSD      check10   validation_copy\check10.npy   60      0.97979685
UMLFF+CCSD      check10   validation_copy\check10.npy   70      0.88129779
UMLFF+CCSD      check10   validation_copy\check10.npy   80      1.33243394
UMLFF+CCSD      check11   validation_copy\check11.npy   10     10.79565559
UMLFF+CCSD      check11   validation_copy\check11.npy   20      4.52014657
UMLFF+CCSD      check11   validation_copy\check11.npy   30      2.53849860
UMLFF+CCSD      check11   validation_copy\check11.npy   40      1.50720412
UMLFF+CCSD      check11   validation_copy\check11.npy   50      1.64458269
UMLFF+CCSD      check11   validation_copy\check11.npy   60      1.05941097
UMLFF+CCSD      check11   validation_copy\check11.npy   70      0.89652951
UMLFF+CCSD      check11   validation_copy\check11.npy   80      1.16491553
